symbol,asset_type,source,score,signal,confidence,strategy,price,return_5_pct,return_20_pct,atr_pct,rsi_14,avg_dollar_volume,volume_ratio,last_bar,reason,rank,asset_label,selected
TXG,stock,screener:day_losers,62.82,hold,0.0,ensemble,56.58499908,8.7546,29.3667,6.4972,68.35,167259154.6,0.0513,2026-08-14T00:00:00,"Noch kein Handelssignal. Der Markt ist wegen Liquidität, Bewegung und technischer Nähe auf der Beobachtungsliste.",16,Aktie,True
TTAN,stock,screener:day_losers,62.66,hold,0.0,ensemble,89.73000336,4.5439,18.0658,5.803,63.02,119796082.34,0.0487,2026-08-14T00:00:00,"Noch kein Handelssignal. Der Markt ist wegen Liquidität, Bewegung und technischer Nähe auf der Beobachtungsliste.",17,Aktie,True
ADBE,stock,screener:day_losers,62.65,hold,0.0,ensemble,263.04998779,-0.8145,10.8746,4.6417,59.34,1319844238.53,0.0772,2026-08-14T00:00:00,"Noch kein Handelssignal. Der Markt ist wegen Liquidität, Bewegung und technischer Nähe auf der Beobachtungsliste.",18,Aktie,True
MU,stock,screener:most_actives,62.59,hold,0.0,ensemble,971.82000732,10.7399,14.4732,7.7224,55.48,39712719349.52,0.1432,2026-08-14T00:00:00,"Noch kein Handelssignal. Der Markt ist wegen Liquidität, Bewegung und technischer Nähe auf der Beobachtungsliste.",19,Aktie,True
TMO,stock,fallback_stocks,62.55,hold,0.0,ensemble,589.58001709,-0.7441,10.7234,2.4448,63.0,1287808517.75,0.0278,2026-08-14T00:00:00,"Noch kein Handelssignal. Der Markt ist wegen Liquidität, Bewegung und technischer Nähe auf der Beobachtungsliste.",20,Aktie,True
NU,stock,screener:most_actives,62.48,hold,0.0,ensemble,15.67500019,13.2587,15.3422,3.7147,67.23,1147654223.41,0.5739,2026-08-14T00:00:00,"Noch kein Handelssignal. Der Markt ist wegen Liquidität, Bewegung und technischer Nähe auf der Beobachtungsliste.",21,Aktie,True
UUUU,stock,screener:day_gainers,62.4,hold,0.0,ensemble,15.15499973,7.1782,31.8973,5.9481,62.54,100403938.86,0.1559,2026-08-14T00:00:00,"Noch kein Handelssignal. Der Markt ist wegen Liquidität, Bewegung und technischer Nähe auf der Beobachtungsliste.",22,Aktie,True
IBM,stock,fallback_stocks,62.06,hold,0.0,ensemble,236.05999756,0.1995,11.7945,2.9978,50.15,1942992560.31,0.0282,2026-08-14T00:00:00,"Noch kein Handelssignal. Der Markt ist wegen Liquidität, Bewegung und technischer Nähe auf der Beobachtungsliste.",23,Aktie,True
NBIS,stock,screener:day_gainers,61.66,hold,0.0,ensemble,269.48651123,43.3668,51.644,10.085,63.24,6888582575.83,0.1543,2026-08-14T00:00:00,"Noch kein Handelssignal. Der Markt ist wegen Liquidität, Bewegung und technischer Nähe auf der Beobachtungsliste.",24,Aktie,True
SNDK,stock,screener:day_gainers,61.54,hold,0.0,ensemble,1624.41003418,34.004,19.8986,9.7855,56.57,26025429807.79,0.3194,2026-08-14T00:00:00,"Noch kein Handelssignal. Der Markt ist wegen Liquidität, Bewegung und technischer Nähe auf der Beobachtungsliste.",25,Aktie,True
